"","show","period","date","value"
"1","Beauty and the Beast","month",1994-03-01,1463821
"2","Beauty and the Beast","month",1994-04-01,2363130
"3","Beauty and the Beast","month",1994-05-01,3396779
"4","Beauty and the Beast","month",1994-06-01,2830054
"5","Beauty and the Beast","month",1994-07-01,3571967
"6","Beauty and the Beast","month",1994-08-01,2850073
"7","Beauty and the Beast","month",1994-09-01,2818410
"8","Beauty and the Beast","month",1994-10-01,3521421
"9","Beauty and the Beast","month",1994-11-01,2829721
"10","Beauty and the Beast","month",1994-12-01,2808143
"11","Beauty and the Beast","month",1995-01-01,3452708
"12","Beauty and the Beast","month",1995-02-01,2567572
"13","Beauty and the Beast","month",1995-03-01,2662834
"14","Beauty and the Beast","month",1995-04-01,3342638
"15","Beauty and the Beast","month",1995-05-01,2672302
"16","Beauty and the Beast","month",1995-06-01,2712371
"17","Beauty and the Beast","month",1995-07-01,3424807
"18","Beauty and the Beast","month",1995-08-01,2869645
"19","Beauty and the Beast","month",1995-09-01,2649035
"20","Beauty and the Beast","month",1995-10-01,3323835
"21","Beauty and the Beast","month",1995-11-01,2693410
"22","Beauty and the Beast","month",1995-12-01,3563360
"23","Beauty and the Beast","month",1996-01-01,2557562
"24","Beauty and the Beast","month",1996-02-01,2512380
"25","Beauty and the Beast","month",1996-03-01,3217512
"26","Beauty and the Beast","month",1996-04-01,2708776
"27","Beauty and the Beast","month",1996-05-01,2586141
"28","Beauty and the Beast","month",1996-06-01,3181281
"29","Beauty and the Beast","month",1996-07-01,2660403
"30","Beauty and the Beast","month",1996-08-01,2675182
"31","Beauty and the Beast","month",1996-09-01,2933033
"32","Beauty and the Beast","month",1996-10-01,2518998
"33","Beauty and the Beast","month",1996-11-01,2302485
"34","Beauty and the Beast","month",1996-12-01,3619251
"35","Beauty and the Beast","month",1997-01-01,2421311
"36","Beauty and the Beast","month",1997-02-01,2276124
"37","Beauty and the Beast","month",1997-03-01,2904103
"38","Beauty and the Beast","month",1997-04-01,2459883
"39","Beauty and the Beast","month",1997-05-01,2343507
"40","Beauty and the Beast","month",1997-06-01,2807098
"41","Beauty and the Beast","month",1997-07-01,2439972
"42","Beauty and the Beast","month",1997-08-01,3068302
"43","Beauty and the Beast","month",1997-09-01,1803843
"44","Beauty and the Beast","month",1997-10-01,2153791
"45","Beauty and the Beast","month",1997-11-01,2803975
"46","Beauty and the Beast","month",1997-12-01,2745588
"47","Beauty and the Beast","month",1998-01-01,2357561
"48","Beauty and the Beast","month",1998-02-01,2053657
"49","Beauty and the Beast","month",1998-03-01,2931975
"50","Beauty and the Beast","month",1998-04-01,2613806
"51","Beauty and the Beast","month",1998-05-01,2806407
"52","Beauty and the Beast","month",1998-06-01,2497086
"53","Beauty and the Beast","month",1998-07-01,2632112
"54","Beauty and the Beast","month",1998-08-01,3253711
"55","Beauty and the Beast","month",1998-09-01,2142554
"56","Beauty and the Beast","month",1998-10-01,2603318
"57","Beauty and the Beast","month",1998-11-01,3237758
"58","Beauty and the Beast","month",1998-12-01,2976213
"59","Beauty and the Beast","month",1999-01-01,3118121
"60","Beauty and the Beast","month",1999-02-01,2303511
"61","Beauty and the Beast","month",1999-03-01,2358154
"62","Beauty and the Beast","month",1999-04-01,2547966
"63","Beauty and the Beast","month",1999-05-01,2799591
"64","Beauty and the Beast","month",1999-06-01,2241280
"65","Beauty and the Beast","month",1999-07-01,2467245
"66","Beauty and the Beast","month",1999-08-01,3214744
"67","Beauty and the Beast","month",1999-09-01,606726
"68","Beauty and the Beast","month",1999-11-01,1707867
"69","Beauty and the Beast","month",1999-12-01,2489923
"70","Beauty and the Beast","month",2000-01-01,2619690
"71","Beauty and the Beast","month",2000-02-01,2078672
"72","Beauty and the Beast","month",2000-03-01,2338607
"73","Beauty and the Beast","month",2000-04-01,3198099
"74","Beauty and the Beast","month",2000-05-01,2302546
"75","Beauty and the Beast","month",2000-06-01,2229160
"76","Beauty and the Beast","month",2000-07-01,3142164
"77","Beauty and the Beast","month",2000-08-01,2542870
"78","Beauty and the Beast","month",2000-09-01,2088033
"79","Beauty and the Beast","month",2000-10-01,2829216
"80","Beauty and the Beast","month",2000-11-01,2429480
"81","Beauty and the Beast","month",2000-12-01,3363363
"82","Beauty and the Beast","month",2001-01-01,2126823
"83","Beauty and the Beast","month",2001-02-01,2326555
"84","Beauty and the Beast","month",2001-03-01,2440239
"85","Beauty and the Beast","month",2001-04-01,3294412
"86","Beauty and the Beast","month",2001-05-01,2442963
"87","Beauty and the Beast","month",2001-06-01,2573624
"88","Beauty and the Beast","month",2001-07-01,3440664
"89","Beauty and the Beast","month",2001-08-01,2843311
"90","Beauty and the Beast","month",2001-09-01,2012243
"91","Beauty and the Beast","month",2001-10-01,2054650
"92","Beauty and the Beast","month",2001-11-01,2207951
"93","Beauty and the Beast","month",2001-12-01,3247904
"94","Beauty and the Beast","month",2002-01-01,2262294
"95","Beauty and the Beast","month",2002-02-01,2253026
"96","Beauty and the Beast","month",2002-03-01,3209044
"97","Beauty and the Beast","month",2002-04-01,2502325
"98","Beauty and the Beast","month",2002-05-01,2234155
"99","Beauty and the Beast","month",2002-06-01,2880444
"100","Beauty and the Beast","month",2002-07-01,2492552
"101","Beauty and the Beast","month",2002-08-01,2563794
"102","Beauty and the Beast","month",2002-09-01,2085173
"103","Beauty and the Beast","month",2002-10-01,2223325
"104","Beauty and the Beast","month",2002-11-01,2266277
"105","Beauty and the Beast","month",2002-12-01,3772116
"106","Beauty and the Beast","month",2003-01-01,2350027
"107","Beauty and the Beast","month",2003-02-01,2182432
"108","Beauty and the Beast","month",2003-03-01,2139534
"109","Beauty and the Beast","month",2003-04-01,2237662
"110","Beauty and the Beast","month",2003-05-01,1976281
"111","Beauty and the Beast","month",2003-06-01,2627585
"112","Beauty and the Beast","month",2003-07-01,2435997
"113","Beauty and the Beast","month",2003-08-01,3165387
"114","Beauty and the Beast","month",2003-09-01,1531659
"115","Beauty and the Beast","month",2003-10-01,2344189
"116","Beauty and the Beast","month",2003-11-01,2919479
"117","Beauty and the Beast","month",2003-12-01,2611065
"118","Beauty and the Beast","month",2004-01-01,2279246
"119","Beauty and the Beast","month",2004-02-01,2425768
"120","Beauty and the Beast","month",2004-03-01,2451354
"121","Beauty and the Beast","month",2004-04-01,2848678
"122","Beauty and the Beast","month",2004-05-01,2616845
"123","Beauty and the Beast","month",2004-06-01,2498144
"124","Beauty and the Beast","month",2004-07-01,2709754
"125","Beauty and the Beast","month",2004-08-01,3286310
"126","Beauty and the Beast","month",2004-09-01,1820237
"127","Beauty and the Beast","month",2004-10-01,2743809
"128","Beauty and the Beast","month",2004-11-01,2526792
"129","Beauty and the Beast","month",2004-12-01,2776396
"130","Beauty and the Beast","month",2005-01-01,3180689
"131","Beauty and the Beast","month",2005-02-01,2422241
"132","Beauty and the Beast","month",2005-03-01,2823389
"133","Beauty and the Beast","month",2005-04-01,2742741
"134","Beauty and the Beast","month",2005-05-01,3041834
"135","Beauty and the Beast","month",2005-06-01,2695305
"136","Beauty and the Beast","month",2005-07-01,3453491
"137","Beauty and the Beast","month",2005-08-01,2635473
"138","Beauty and the Beast","month",2005-09-01,1756589
"139","Beauty and the Beast","month",2005-10-01,2938266
"140","Beauty and the Beast","month",2005-11-01,2311064
"141","Beauty and the Beast","month",2005-12-01,2260674
"142","Beauty and the Beast","month",2006-01-01,3471491
"143","Beauty and the Beast","month",2006-02-01,2281467
"144","Beauty and the Beast","month",2006-03-01,2606902
"145","Beauty and the Beast","month",2006-04-01,3573770
"146","Beauty and the Beast","month",2006-05-01,2416426
"147","Beauty and the Beast","month",2006-06-01,2787855
"148","Beauty and the Beast","month",2006-07-01,3613233
"149","Beauty and the Beast","month",2006-08-01,2614822
"150","Beauty and the Beast","month",2006-09-01,2095423
"151","Beauty and the Beast","month",2006-10-01,3109540
"152","Beauty and the Beast","month",2006-11-01,2704564
"153","Beauty and the Beast","month",2006-12-01,4064793
"154","Beauty and the Beast","month",2007-01-01,2294026
"155","Beauty and the Beast","month",2007-02-01,2403421
"156","Beauty and the Beast","month",2007-03-01,2667413
"157","Beauty and the Beast","month",2007-04-01,4065352
"158","Beauty and the Beast","month",2007-05-01,3004182
"159","Beauty and the Beast","month",2007-06-01,3391748
"160","Beauty and the Beast","month",2007-07-01,5258057
"161","Beauty and the Beast","week",1994-03-07,410334
"162","Beauty and the Beast","week",1994-03-14,514041
"163","Beauty and the Beast","week",1994-03-21,539446
"164","Beauty and the Beast","week",1994-03-28,664043
"165","Beauty and the Beast","week",1994-04-04,602833
"166","Beauty and the Beast","week",1994-04-11,517176
"167","Beauty and the Beast","week",1994-04-18,579078
"168","Beauty and the Beast","week",1994-04-25,640515
"169","Beauty and the Beast","week",1994-05-02,680557
"170","Beauty and the Beast","week",1994-05-09,670497
"171","Beauty and the Beast","week",1994-05-16,699159
"172","Beauty and the Beast","week",1994-05-23,706051
"173","Beauty and the Beast","week",1994-05-30,700153
"174","Beauty and the Beast","week",1994-06-06,703643
"175","Beauty and the Beast","week",1994-06-13,711816
"176","Beauty and the Beast","week",1994-06-20,714442
"177","Beauty and the Beast","week",1994-06-27,716084
"178","Beauty and the Beast","week",1994-07-04,714565
"179","Beauty and the Beast","week",1994-07-11,715101
"180","Beauty and the Beast","week",1994-07-18,716171
"181","Beauty and the Beast","week",1994-07-25,710046
"182","Beauty and the Beast","week",1994-08-01,710021
"183","Beauty and the Beast","week",1994-08-08,711107
"184","Beauty and the Beast","week",1994-08-15,713730
"185","Beauty and the Beast","week",1994-08-22,715215
"186","Beauty and the Beast","week",1994-08-29,716171
"187","Beauty and the Beast","week",1994-09-05,697165
"188","Beauty and the Beast","week",1994-09-12,703344
"189","Beauty and the Beast","week",1994-09-19,701730
"190","Beauty and the Beast","week",1994-09-26,703883
"191","Beauty and the Beast","week",1994-10-03,702222
"192","Beauty and the Beast","week",1994-10-10,707331
"193","Beauty and the Beast","week",1994-10-17,706158
"194","Beauty and the Beast","week",1994-10-24,701827
"195","Beauty and the Beast","week",1994-10-31,706730
"196","Beauty and the Beast","week",1994-11-07,702281
"197","Beauty and the Beast","week",1994-11-14,701398
"198","Beauty and the Beast","week",1994-11-21,719312
"199","Beauty and the Beast","week",1994-11-28,700173
"200","Beauty and the Beast","week",1994-12-05,701289
"201","Beauty and the Beast","week",1994-12-12,701316
"202","Beauty and the Beast","week",1994-12-19,705365
"203","Beauty and the Beast","week",1994-12-26,749153
"204","Beauty and the Beast","week",1995-01-02,707347
"205","Beauty and the Beast","week",1995-01-09,705869
"206","Beauty and the Beast","week",1995-01-16,647039
"207","Beauty and the Beast","week",1995-01-23,643300
"208","Beauty and the Beast","week",1995-01-30,567876
"209","Beauty and the Beast","week",1995-02-06,648339
"210","Beauty and the Beast","week",1995-02-13,674874
"211","Beauty and the Beast","week",1995-02-20,676483
"212","Beauty and the Beast","week",1995-02-27,672365
"213","Beauty and the Beast","week",1995-03-06,659195
"214","Beauty and the Beast","week",1995-03-13,676357
"215","Beauty and the Beast","week",1995-03-20,654917
"216","Beauty and the Beast","week",1995-03-27,633756
"217","Beauty and the Beast","week",1995-04-03,646656
"218","Beauty and the Beast","week",1995-04-10,698661
"219","Beauty and the Beast","week",1995-04-17,694389
"220","Beauty and the Beast","week",1995-04-24,669176
"221","Beauty and the Beast","week",1995-05-01,665357
"222","Beauty and the Beast","week",1995-05-08,644291
"223","Beauty and the Beast","week",1995-05-15,678223
"224","Beauty and the Beast","week",1995-05-22,684431
"225","Beauty and the Beast","week",1995-05-29,649179
"226","Beauty and the Beast","week",1995-06-05,660900
"227","Beauty and the Beast","week",1995-06-12,694791
"228","Beauty and the Beast","week",1995-06-19,707501
"229","Beauty and the Beast","week",1995-06-26,691622
"230","Beauty and the Beast","week",1995-07-03,613880
"231","Beauty and the Beast","week",1995-07-10,682685
"232","Beauty and the Beast","week",1995-07-17,710681
"233","Beauty and the Beast","week",1995-07-24,725939
"234","Beauty and the Beast","week",1995-07-31,704174
"235","Beauty and the Beast","week",1995-08-07,731120
"236","Beauty and the Beast","week",1995-08-14,728359
"237","Beauty and the Beast","week",1995-08-21,705992
"238","Beauty and the Beast","week",1995-08-28,674299
"239","Beauty and the Beast","week",1995-09-04,666146
"240","Beauty and the Beast","week",1995-09-11,645502
"241","Beauty and the Beast","week",1995-09-18,663088
"242","Beauty and the Beast","week",1995-09-25,633837
"243","Beauty and the Beast","week",1995-10-02,671027
"244","Beauty and the Beast","week",1995-10-09,689188
"245","Beauty and the Beast","week",1995-10-16,666444
"246","Beauty and the Beast","week",1995-10-23,663339
"247","Beauty and the Beast","week",1995-10-30,696326
"248","Beauty and the Beast","week",1995-11-06,638918
"249","Beauty and the Beast","week",1995-11-13,631152
"250","Beauty and the Beast","week",1995-11-20,727014
"251","Beauty and the Beast","week",1995-11-27,684490
"252","Beauty and the Beast","week",1995-12-04,715003
"253","Beauty and the Beast","week",1995-12-11,701315
"254","Beauty and the Beast","week",1995-12-18,699409
"255","Beauty and the Beast","week",1995-12-25,763143
"256","Beauty and the Beast","week",1996-01-01,694157
"257","Beauty and the Beast","week",1996-01-08,614481
"258","Beauty and the Beast","week",1996-01-15,621087
"259","Beauty and the Beast","week",1996-01-22,627837
"260","Beauty and the Beast","week",1996-01-29,543824
"261","Beauty and the Beast","week",1996-02-05,606989
"262","Beauty and the Beast","week",1996-02-12,678633
"263","Beauty and the Beast","week",1996-02-19,682934
"264","Beauty and the Beast","week",1996-02-26,618704
"265","Beauty and the Beast","week",1996-03-04,642211
"266","Beauty and the Beast","week",1996-03-11,649939
"267","Beauty and the Beast","week",1996-03-18,649436
"268","Beauty and the Beast","week",1996-03-25,657222
"269","Beauty and the Beast","week",1996-04-01,705589
"270","Beauty and the Beast","week",1996-04-08,687935
"271","Beauty and the Beast","week",1996-04-15,643320
"272","Beauty and the Beast","week",1996-04-22,671932
"273","Beauty and the Beast","week",1996-04-29,660433
"274","Beauty and the Beast","week",1996-05-06,610216
"275","Beauty and the Beast","week",1996-05-13,650771
"276","Beauty and the Beast","week",1996-05-20,664721
"277","Beauty and the Beast","week",1996-05-27,611246
"278","Beauty and the Beast","week",1996-06-03,647302
"279","Beauty and the Beast","week",1996-06-10,592002
"280","Beauty and the Beast","week",1996-06-17,678060
"281","Beauty and the Beast","week",1996-06-24,652671
"282","Beauty and the Beast","week",1996-07-01,645936
"283","Beauty and the Beast","week",1996-07-08,651355
"284","Beauty and the Beast","week",1996-07-15,684324
"285","Beauty and the Beast","week",1996-07-22,678788
"286","Beauty and the Beast","week",1996-07-29,644654
"287","Beauty and the Beast","week",1996-08-05,669997
"288","Beauty and the Beast","week",1996-08-12,700738
"289","Beauty and the Beast","week",1996-08-19,659793
"290","Beauty and the Beast","week",1996-08-26,625106
"291","Beauty and the Beast","week",1996-09-02,567101
"292","Beauty and the Beast","week",1996-09-09,560295
"293","Beauty and the Beast","week",1996-09-16,589435
"294","Beauty and the Beast","week",1996-09-23,591096
"295","Beauty and the Beast","week",1996-09-30,601626
"296","Beauty and the Beast","week",1996-10-07,650150
"297","Beauty and the Beast","week",1996-10-14,660029
"298","Beauty and the Beast","week",1996-10-21,607193
"299","Beauty and the Beast","week",1996-10-28,564089
"300","Beauty and the Beast","week",1996-11-04,622480
"301","Beauty and the Beast","week",1996-11-11,570321
"302","Beauty and the Beast","week",1996-11-18,545595
"303","Beauty and the Beast","week",1996-11-25,733802
"304","Beauty and the Beast","week",1996-12-02,686088
"305","Beauty and the Beast","week",1996-12-09,674752
"306","Beauty and the Beast","week",1996-12-16,684916
"307","Beauty and the Beast","week",1996-12-23,839693
"308","Beauty and the Beast","week",1996-12-30,766149
"309","Beauty and the Beast","week",1997-01-06,572935
"310","Beauty and the Beast","week",1997-01-13,577878
"311","Beauty and the Beast","week",1997-01-20,504349
"312","Beauty and the Beast","week",1997-01-27,548416
"313","Beauty and the Beast","week",1997-02-03,511022
"314","Beauty and the Beast","week",1997-02-10,621031
"315","Beauty and the Beast","week",1997-02-17,595655
"316","Beauty and the Beast","week",1997-02-24,467402
"317","Beauty and the Beast","week",1997-03-03,556640
"318","Beauty and the Beast","week",1997-03-10,569906
"319","Beauty and the Beast","week",1997-03-17,614734
"320","Beauty and the Beast","week",1997-03-24,695421
"321","Beauty and the Beast","week",1997-03-31,640003
"322","Beauty and the Beast","week",1997-04-07,542024
"323","Beauty and the Beast","week",1997-04-14,616623
"324","Beauty and the Beast","week",1997-04-21,661233
"325","Beauty and the Beast","week",1997-04-28,615609
"326","Beauty and the Beast","week",1997-05-05,516989
"327","Beauty and the Beast","week",1997-05-12,586678
"328","Beauty and the Beast","week",1997-05-19,624231
"329","Beauty and the Beast","week",1997-05-26,513315
"330","Beauty and the Beast","week",1997-06-02,501991
"331","Beauty and the Beast","week",1997-06-09,562115
"332","Beauty and the Beast","week",1997-06-16,594822
"333","Beauty and the Beast","week",1997-06-23,634855
"334","Beauty and the Beast","week",1997-06-30,554941
"335","Beauty and the Beast","week",1997-07-07,620404
"336","Beauty and the Beast","week",1997-07-14,639045
"337","Beauty and the Beast","week",1997-07-21,625582
"338","Beauty and the Beast","week",1997-07-28,636386
"339","Beauty and the Beast","week",1997-08-04,615987
"340","Beauty and the Beast","week",1997-08-11,654903
"341","Beauty and the Beast","week",1997-08-18,601192
"342","Beauty and the Beast","week",1997-08-25,559834
"343","Beauty and the Beast","week",1997-09-01,385159
"344","Beauty and the Beast","week",1997-09-08,436744
"345","Beauty and the Beast","week",1997-09-15,473181
"346","Beauty and the Beast","week",1997-09-22,508759
"347","Beauty and the Beast","week",1997-09-29,516441
"348","Beauty and the Beast","week",1997-10-06,558458
"349","Beauty and the Beast","week",1997-10-13,549890
"350","Beauty and the Beast","week",1997-10-20,529002
"351","Beauty and the Beast","week",1997-10-27,443340
"352","Beauty and the Beast","week",1997-11-03,525481
"353","Beauty and the Beast","week",1997-11-10,563643
"354","Beauty and the Beast","week",1997-11-17,556645
"355","Beauty and the Beast","week",1997-11-24,714866
"356","Beauty and the Beast","week",1997-12-01,656049
"357","Beauty and the Beast","week",1997-12-08,632085
"358","Beauty and the Beast","week",1997-12-15,655208
"359","Beauty and the Beast","week",1997-12-22,802246
"360","Beauty and the Beast","week",1997-12-29,791909
"361","Beauty and the Beast","week",1998-01-05,548855
"362","Beauty and the Beast","week",1998-01-12,517896
"363","Beauty and the Beast","week",1998-01-19,498901
"364","Beauty and the Beast","week",1998-01-26,491414
"365","Beauty and the Beast","week",1998-02-02,462691
"366","Beauty and the Beast","week",1998-02-09,534979
"367","Beauty and the Beast","week",1998-02-16,564573
"368","Beauty and the Beast","week",1998-02-23,537311
"369","Beauty and the Beast","week",1998-03-02,560293
"370","Beauty and the Beast","week",1998-03-09,590461
"371","Beauty and the Beast","week",1998-03-16,629588
"372","Beauty and the Beast","week",1998-03-23,614322
"373","Beauty and the Beast","week",1998-03-30,591854
"374","Beauty and the Beast","week",1998-04-06,698640
"375","Beauty and the Beast","week",1998-04-13,715135
"376","Beauty and the Beast","week",1998-04-20,608177
"377","Beauty and the Beast","week",1998-04-27,592959
"378","Beauty and the Beast","week",1998-05-04,540077
"379","Beauty and the Beast","week",1998-05-11,569871
"380","Beauty and the Beast","week",1998-05-18,596945
"381","Beauty and the Beast","week",1998-05-25,506555
"382","Beauty and the Beast","week",1998-06-01,565221
"383","Beauty and the Beast","week",1998-06-08,642094
"384","Beauty and the Beast","week",1998-06-15,636412
"385","Beauty and the Beast","week",1998-06-22,653359
"386","Beauty and the Beast","week",1998-06-29,586994
"387","Beauty and the Beast","week",1998-07-06,658928
"388","Beauty and the Beast","week",1998-07-13,683645
"389","Beauty and the Beast","week",1998-07-20,702545
"390","Beauty and the Beast","week",1998-07-27,706882
"391","Beauty and the Beast","week",1998-08-03,691727
"392","Beauty and the Beast","week",1998-08-10,693595
"393","Beauty and the Beast","week",1998-08-17,618551
"394","Beauty and the Beast","week",1998-08-24,542956
"395","Beauty and the Beast","week",1998-08-31,529208
"396","Beauty and the Beast","week",1998-09-07,485941
"397","Beauty and the Beast","week",1998-09-14,562593
"398","Beauty and the Beast","week",1998-09-21,564812
"399","Beauty and the Beast","week",1998-09-28,616865
"400","Beauty and the Beast","week",1998-10-05,650576
"401","Beauty and the Beast","week",1998-10-12,691859
"402","Beauty and the Beast","week",1998-10-19,644018
"403","Beauty and the Beast","week",1998-10-26,537755
"404","Beauty and the Beast","week",1998-11-02,592065
"405","Beauty and the Beast","week",1998-11-09,697668
"406","Beauty and the Beast","week",1998-11-16,635457
"407","Beauty and the Beast","week",1998-11-23,774813
"408","Beauty and the Beast","week",1998-11-30,724041
"409","Beauty and the Beast","week",1998-12-07,721593
"410","Beauty and the Beast","week",1998-12-14,704540
"411","Beauty and the Beast","week",1998-12-21,826039
"412","Beauty and the Beast","week",1998-12-28,854285
"413","Beauty and the Beast","week",1999-01-04,604929
"414","Beauty and the Beast","week",1999-01-11,570876
"415","Beauty and the Beast","week",1999-01-18,544391
"416","Beauty and the Beast","week",1999-01-25,543640
"417","Beauty and the Beast","week",1999-02-01,531384
"418","Beauty and the Beast","week",1999-02-08,575850
"419","Beauty and the Beast","week",1999-02-15,605825
"420","Beauty and the Beast","week",1999-02-22,590452
"421","Beauty and the Beast","week",1999-03-01,509962
"422","Beauty and the Beast","week",1999-03-08,561700
"423","Beauty and the Beast","week",1999-03-15,627901
"424","Beauty and the Beast","week",1999-03-22,658591
"425","Beauty and the Beast","week",1999-03-29,698195
"426","Beauty and the Beast","week",1999-04-05,677366
"427","Beauty and the Beast","week",1999-04-12,556520
"428","Beauty and the Beast","week",1999-04-19,615885
"429","Beauty and the Beast","week",1999-04-26,604321
"430","Beauty and the Beast","week",1999-05-03,528853
"431","Beauty and the Beast","week",1999-05-10,556669
"432","Beauty and the Beast","week",1999-05-17,543224
"433","Beauty and the Beast","week",1999-05-24,566524
"434","Beauty and the Beast","week",1999-05-31,516137
"435","Beauty and the Beast","week",1999-06-07,552232
"436","Beauty and the Beast","week",1999-06-14,549994
"437","Beauty and the Beast","week",1999-06-21,622917
"438","Beauty and the Beast","week",1999-06-28,563554
"439","Beauty and the Beast","week",1999-07-05,606702
"440","Beauty and the Beast","week",1999-07-12,634921
"441","Beauty and the Beast","week",1999-07-19,662068
"442","Beauty and the Beast","week",1999-07-26,638125
"443","Beauty and the Beast","week",1999-08-02,658504
"444","Beauty and the Beast","week",1999-08-09,667562
"445","Beauty and the Beast","week",1999-08-16,646198
"446","Beauty and the Beast","week",1999-08-23,604355
"447","Beauty and the Beast","week",1999-08-30,606726
"448","Beauty and the Beast","week",1999-11-08,420766
"449","Beauty and the Beast","week",1999-11-15,584490
"450","Beauty and the Beast","week",1999-11-22,702611
"451","Beauty and the Beast","week",1999-11-29,605549
"452","Beauty and the Beast","week",1999-12-06,642939
"453","Beauty and the Beast","week",1999-12-13,640686
"454","Beauty and the Beast","week",1999-12-20,600749
"455","Beauty and the Beast","week",1999-12-27,737518
"456","Beauty and the Beast","week",2000-01-03,500210
"457","Beauty and the Beast","week",2000-01-10,542212
"458","Beauty and the Beast","week",2000-01-17,436007
"459","Beauty and the Beast","week",2000-01-24,403743
"460","Beauty and the Beast","week",2000-01-31,426611
"461","Beauty and the Beast","week",2000-02-07,512638
"462","Beauty and the Beast","week",2000-02-14,574884
"463","Beauty and the Beast","week",2000-02-21,564539
"464","Beauty and the Beast","week",2000-02-28,484837
"465","Beauty and the Beast","week",2000-03-06,590934
"466","Beauty and the Beast","week",2000-03-13,639996
"467","Beauty and the Beast","week",2000-03-20,622840
"468","Beauty and the Beast","week",2000-03-27,621958
"469","Beauty and the Beast","week",2000-04-03,577354
"470","Beauty and the Beast","week",2000-04-10,628881
"471","Beauty and the Beast","week",2000-04-17,704379
"472","Beauty and the Beast","week",2000-04-24,665527
"473","Beauty and the Beast","week",2000-05-01,583238
"474","Beauty and the Beast","week",2000-05-08,553045
"475","Beauty and the Beast","week",2000-05-15,572556
"476","Beauty and the Beast","week",2000-05-22,593707
"477","Beauty and the Beast","week",2000-05-29,531987
"478","Beauty and the Beast","week",2000-06-05,584832
"479","Beauty and the Beast","week",2000-06-12,580531
"480","Beauty and the Beast","week",2000-06-19,531810
"481","Beauty and the Beast","week",2000-06-26,571856
"482","Beauty and the Beast","week",2000-07-03,615941
"483","Beauty and the Beast","week",2000-07-10,631028
"484","Beauty and the Beast","week",2000-07-17,663000
"485","Beauty and the Beast","week",2000-07-24,660339
"486","Beauty and the Beast","week",2000-07-31,654613
"487","Beauty and the Beast","week",2000-08-07,641972
"488","Beauty and the Beast","week",2000-08-14,634509
"489","Beauty and the Beast","week",2000-08-21,611776
"490","Beauty and the Beast","week",2000-08-28,573541
"491","Beauty and the Beast","week",2000-09-04,466868
"492","Beauty and the Beast","week",2000-09-11,523308
"493","Beauty and the Beast","week",2000-09-18,524316
"494","Beauty and the Beast","week",2000-09-25,494050
"495","Beauty and the Beast","week",2000-10-02,592822
"496","Beauty and the Beast","week",2000-10-09,568568
"497","Beauty and the Beast","week",2000-10-16,622269
"498","Beauty and the Beast","week",2000-10-23,551507
"499","Beauty and the Beast","week",2000-10-30,552257
"500","Beauty and the Beast","week",2000-11-06,593731
"501","Beauty and the Beast","week",2000-11-13,551034
"502","Beauty and the Beast","week",2000-11-20,732458
"503","Beauty and the Beast","week",2000-11-27,586468
"504","Beauty and the Beast","week",2000-12-04,636570
"505","Beauty and the Beast","week",2000-12-11,628356
"506","Beauty and the Beast","week",2000-12-18,584433
"507","Beauty and the Beast","week",2000-12-25,927536
"508","Beauty and the Beast","week",2001-01-01,571065
"509","Beauty and the Beast","week",2001-01-08,550802
"510","Beauty and the Beast","week",2001-01-15,505542
"511","Beauty and the Beast","week",2001-01-22,499414
"512","Beauty and the Beast","week",2001-01-29,484241
"513","Beauty and the Beast","week",2001-02-05,526627
"514","Beauty and the Beast","week",2001-02-12,672196
"515","Beauty and the Beast","week",2001-02-19,643491
"516","Beauty and the Beast","week",2001-02-26,560452
"517","Beauty and the Beast","week",2001-03-05,605723
"518","Beauty and the Beast","week",2001-03-12,628089
"519","Beauty and the Beast","week",2001-03-19,645975
"520","Beauty and the Beast","week",2001-03-26,623577
"521","Beauty and the Beast","week",2001-04-02,651938
"522","Beauty and the Beast","week",2001-04-09,715794
"523","Beauty and the Beast","week",2001-04-16,685092
"524","Beauty and the Beast","week",2001-04-23,618011
"525","Beauty and the Beast","week",2001-04-30,612679
"526","Beauty and the Beast","week",2001-05-07,561741
"527","Beauty and the Beast","week",2001-05-14,598910
"528","Beauty and the Beast","week",2001-05-21,669633
"529","Beauty and the Beast","week",2001-05-28,588253
"530","Beauty and the Beast","week",2001-06-04,658088
"531","Beauty and the Beast","week",2001-06-11,657154
"532","Beauty and the Beast","week",2001-06-18,670129
"533","Beauty and the Beast","week",2001-06-25,641579
"534","Beauty and the Beast","week",2001-07-02,689712
"535","Beauty and the Beast","week",2001-07-09,679175
"536","Beauty and the Beast","week",2001-07-16,715896
"537","Beauty and the Beast","week",2001-07-23,714302
"538","Beauty and the Beast","week",2001-07-30,739277
"539","Beauty and the Beast","week",2001-08-06,736472
"540","Beauty and the Beast","week",2001-08-13,711622
"541","Beauty and the Beast","week",2001-08-20,655940
"542","Beauty and the Beast","week",2001-08-27,669559
"543","Beauty and the Beast","week",2001-09-03,509036
"544","Beauty and the Beast","week",2001-09-10,147766
"545","Beauty and the Beast","week",2001-09-17,248928
"546","Beauty and the Beast","week",2001-09-24,436954
"547","Beauty and the Beast","week",2001-10-01,543381
"548","Beauty and the Beast","week",2001-10-08,496179
"549","Beauty and the Beast","week",2001-10-15,513993
"550","Beauty and the Beast","week",2001-10-22,501097
"551","Beauty and the Beast","week",2001-10-29,421907
"552","Beauty and the Beast","week",2001-11-05,556265
"553","Beauty and the Beast","week",2001-11-12,495538
